date,sales,demand,spend_sms,spend_newspaper,spend_radio,spend_tv,spend_internet,grp_sms,grp_newspaper,grp_radio,grp_internet,grp_tv,cpi,cci,ppi,unit_price,pos_supply
2012-01-09,19118515.200000003,58048,313.9693,77.606045,548.4448,8143.7895,29690.906000000003,55.50152857142857,1277.5042857142857,380.80519999999996,263.4480571428571,1373.545442857143,101.4,100.1,100.4,361.6,52872
2012-01-16,14392041.600000001,48669,293.66790000000003,74.155067,553.2065,7752.2063,28313.476,49.992757142857144,1196.8667142857144,112.16884285714286,239.1233857142857,924.6883285714285,101.4,100.1,100.4,361.6,39801
2012-01-23,11256246.4,41490,302.3994,77.12131099999999,561.3423,8009.8614,21602.68,31.506571428571426,599.0814,252.34851428571432,583.0783,2068.259742857143,101.4,100.1,100.4,361.6,31129
2012-01-30,13763219.200000001,38527,292.3291,78.41318799999999,536.7943,8060.0945,17046.168,16.8138,124.64781428571428,144.01702857142857,319.0619142857143,1180.3701285714285,101.4,100.1,100.4,361.6,38062
2012-02-06,16488960.0,50768,451.6023,90.003324,674.7834,9408.4135,10412.355000000001,15.544957142857143,88.43212857142858,113.98672857142857,313.37852857142855,917.4025857142858,101.3,103.0,100.4,361.6,45600
2012-02-13,21639228.8,51165,543.0376,92.490447,724.6136,9691.887999999999,4469.618,14.969442857142857,103.68842857142856,106.64285714285714,299.4545428571428,809.2922,101.3,103.0,100.4,361.6,59843
2012-02-20,24106787.200000003,59332,488.6418,92.372107,702.7649,9776.0196,8848.190999999999,39.50107142857143,102.14657142857143,122.03895714285714,281.7857,924.4480571428572,101.3,103.0,100.4,361.6,66667
2012-02-27,16373248.0,45630,510.7555,93.205242,697.6719,9823.685300000001,27387.761,24.533528571428572,156.80642857142857,116.77271428571429,285.24674285714286,956.2337714285713,101.3,103.0,100.4,361.6,45280
2012-03-05,14150854.4,50511,529.6533,95.422372,726.2694,10090.9274,19865.954,43.87811428571429,126.73371428571429,101.1753142857143,243.62985714285716,906.9285714285714,101.3,103.0,100.4,361.6,39134
2012-03-12,16774262.4,52343,506.8961,93.392115,701.5551,9848.1963,21307.812,19.676142857142857,144.47042857142858,84.16882857142856,226.2207857142857,804.4870285714286,101.3,103.0,100.4,361.6,46389
2012-03-19,17197334.400000002,54506,480.315,94.630848,663.6461,10015.1217,22440.001,30.17674285714285,286.0521428571429,108.99352857142857,266.1883142857143,978.8960999999999,101.3,103.0,100.4,361.6,47559
2012-03-26,18359516.8,60156,408.789,92.602298,574.3715,9643.3192,17206.714,37.31151428571429,298.2802857142857,128.77272857142856,250.66234285714287,1766.3571285714283,101.3,103.0,100.4,361.6,50773
